B_max,B_opt,B_opt F1 err
13,2.0,0.9818181805312634
13,2.0,0.9818181805312634
11,2.0,0.9818181805312634
13,2.0,0.9818181805312634
13,2.0,0.9818181805312634
20,6.0,0.9414495304226875
15,9.0,0.6652377545833588
15,9.0,0.6652377545833588
15,9.0,0.6652377545833588
17,10.0,0.38635367155075073
17,10.0,0.38635367155075073
17,10.0,0.38635367155075073
17,10.0,0.38635367155075073
17,10.0,0.38635367155075073
28,17.0,0.2907153367996216
34,20.0,0.13824594020843506
51,26.0,0.12866359949111938
51,26.0,0.12866359949111938
142,27.0,0.12850189208984375
85,28.0,0.12013959884643555
179,30.0,0.1098511815071106
179,30.0,0.1098511815071106
179,30.0,0.1098511815071106
92,31.0,0.10972893238067627
167,32.0,0.1090688705444336
167,32.0,0.1090688705444336
231,33.0,0.10902851819992065
231,33.0,0.10902851819992065
90,34.0,0.0984840989112854
137,39.0,0.08840692043304443
137,39.0,0.08840692043304443
