Epoch 0/1000 | train_loss: 1.383423 | train_acc: 0.500817 | train_top1: 0.544407 | train_f1: 0.556633 | test_top1: 0.526749 | test_f1: 0.535200
Epoch 1/1000 | train_loss: 0.986019 | train_acc: 0.650343 | train_top1: 0.696302 | train_f1: 0.697640 | test_top1: 0.653851 | test_f1: 0.652100
Epoch 2/1000 | train_loss: 0.792574 | train_acc: 0.719356 | train_top1: 0.726736 | train_f1: 0.733741 | test_top1: 0.670598 | test_f1: 0.674900
Epoch 3/1000 | train_loss: 0.655391 | train_acc: 0.769607 | train_top1: 0.772624 | train_f1: 0.776714 | test_top1: 0.686525 | test_f1: 0.687500
Epoch 4/1000 | train_loss: 0.547088 | train_acc: 0.808139 | train_top1: 0.829498 | train_f1: 0.833570 | test_top1: 0.710854 | test_f1: 0.714600
Epoch 5/1000 | train_loss: 0.443652 | train_acc: 0.844292 | train_top1: 0.885991 | train_f1: 0.887751 | test_top1: 0.733481 | test_f1: 0.732500
Epoch 6/1000 | train_loss: 0.370755 | train_acc: 0.869364 | train_top1: 0.890120 | train_f1: 0.891717 | test_top1: 0.727084 | test_f1: 0.728500
Epoch 7/1000 | train_loss: 0.292912 | train_acc: 0.895906 | train_top1: 0.919902 | train_f1: 0.921460 | test_top1: 0.743428 | test_f1: 0.744000
Epoch 8/1000 | train_loss: 0.239810 | train_acc: 0.915553 | train_top1: 0.932429 | train_f1: 0.934048 | test_top1: 0.739873 | test_f1: 0.742000
Epoch 9/1000 | train_loss: 0.196861 | train_acc: 0.931063 | train_top1: 0.947331 | train_f1: 0.947915 | test_top1: 0.735249 | test_f1: 0.732100
Epoch 10/1000 | train_loss: 0.153365 | train_acc: 0.945388 | train_top1: 0.947729 | train_f1: 0.948856 | test_top1: 0.732843 | test_f1: 0.732500
Epoch 11/1000 | train_loss: 0.140390 | train_acc: 0.950407 | train_top1: 0.962515 | train_f1: 0.963210 | test_top1: 0.738508 | test_f1: 0.739300
Epoch 12/1000 | train_loss: 0.109399 | train_acc: 0.961874 | train_top1: 0.965515 | train_f1: 0.966119 | test_top1: 0.740716 | test_f1: 0.742900
Epoch 13/1000 | train_loss: 0.102089 | train_acc: 0.964051 | train_top1: 0.970250 | train_f1: 0.970986 | test_top1: 0.744421 | test_f1: 0.744000
Epoch 14/1000 | train_loss: 0.089278 | train_acc: 0.968160 | train_top1: 0.981379 | train_f1: 0.981836 | test_top1: 0.757392 | test_f1: 0.756800
Epoch 15/1000 | train_loss: 0.083308 | train_acc: 0.971301 | train_top1: 0.976555 | train_f1: 0.977113 | test_top1: 0.740993 | test_f1: 0.742100
Epoch 16/1000 | train_loss: 0.079899 | train_acc: 0.971648 | train_top1: 0.966544 | train_f1: 0.967379 | test_top1: 0.736349 | test_f1: 0.735800
Epoch 17/1000 | train_loss: 0.069725 | train_acc: 0.974984 | train_top1: 0.982207 | train_f1: 0.982637 | test_top1: 0.750587 | test_f1: 0.749700
WARNING:root:Warning: Some classes do not exist in the target. F1 scores for these classes will be cast to zeros.
Epoch 18/1000 | train_loss: 0.065965 | train_acc: 0.976574 | train_top1: 0.972030 | train_f1: 0.972692 | test_top1: 0.741246 | test_f1: 0.743000
Epoch 19/1000 | train_loss: 0.066102 | train_acc: 0.976953 | train_top1: 0.980667 | train_f1: 0.981079 | test_top1: 0.745688 | test_f1: 0.743800
Epoch 20/1000 | train_loss: 0.056889 | train_acc: 0.980680 | train_top1: 0.977995 | train_f1: 0.978316 | test_top1: 0.744724 | test_f1: 0.744000
Epoch 21/1000 | train_loss: 0.057242 | train_acc: 0.980325 | train_top1: 0.983230 | train_f1: 0.983490 | test_top1: 0.744457 | test_f1: 0.744200
Epoch 22/1000 | train_loss: 0.059245 | train_acc: 0.979006 | train_top1: 0.977620 | train_f1: 0.978021 | test_top1: 0.741005 | test_f1: 0.740700
Epoch 23/1000 | train_loss: 0.053213 | train_acc: 0.981661 | train_top1: 0.985843 | train_f1: 0.986041 | test_top1: 0.751656 | test_f1: 0.751300
Epoch 24/1000 | train_loss: 0.045295 | train_acc: 0.984630 | train_top1: 0.986488 | train_f1: 0.986763 | test_top1: 0.750428 | test_f1: 0.750000
Epoch 25/1000 | train_loss: 0.049479 | train_acc: 0.983410 | train_top1: 0.972890 | train_f1: 0.973310 | test_top1: 0.736180 | test_f1: 0.735800
Epoch 26/1000 | train_loss: 0.050994 | train_acc: 0.982011 | train_top1: 0.989390 | train_f1: 0.989668 | test_top1: 0.754408 | test_f1: 0.753800
Epoch 27/1000 | train_loss: 0.051587 | train_acc: 0.982529 | train_top1: 0.982020 | train_f1: 0.982382 | test_top1: 0.743228 | test_f1: 0.742500
Epoch 28/1000 | train_loss: 0.046212 | train_acc: 0.984028 | train_top1: 0.989950 | train_f1: 0.990254 | test_top1: 0.751879 | test_f1: 0.750200
Epoch 29/1000 | train_loss: 0.036075 | train_acc: 0.987875 | train_top1: 0.986190 | train_f1: 0.986388 | test_top1: 0.751079 | test_f1: 0.750400
Epoch 30/1000 | train_loss: 0.044756 | train_acc: 0.984929 | train_top1: 0.981599 | train_f1: 0.981995 | test_top1: 0.742570 | test_f1: 0.745200
Epoch 31/1000 | train_loss: 0.038937 | train_acc: 0.986607 | train_top1: 0.989435 | train_f1: 0.989696 | test_top1: 0.750747 | test_f1: 0.750900
Epoch 32/1000 | train_loss: 0.043410 | train_acc: 0.985156 | train_top1: 0.983225 | train_f1: 0.983538 | test_top1: 0.746822 | test_f1: 0.749500
Epoch 33/1000 | train_loss: 0.042234 | train_acc: 0.985085 | train_top1: 0.990283 | train_f1: 0.990513 | test_top1: 0.755727 | test_f1: 0.755500
Epoch 34/1000 | train_loss: 0.038464 | train_acc: 0.986364 | train_top1: 0.992109 | train_f1: 0.992267 | test_top1: 0.754964 | test_f1: 0.754700
Epoch 35/1000 | train_loss: 0.037091 | train_acc: 0.987695 | train_top1: 0.990490 | train_f1: 0.990685 | test_top1: 0.753948 | test_f1: 0.753800
Epoch 36/1000 | train_loss: 0.034090 | train_acc: 0.988740 | train_top1: 0.989794 | train_f1: 0.989955 | test_top1: 0.745588 | test_f1: 0.743800
Epoch 37/1000 | train_loss: 0.026695 | train_acc: 0.990932 | train_top1: 0.988918 | train_f1: 0.989118 | test_top1: 0.745382 | test_f1: 0.745900
Epoch 38/1000 | train_loss: 0.029252 | train_acc: 0.990246 | train_top1: 0.989298 | train_f1: 0.989593 | test_top1: 0.748739 | test_f1: 0.751100
Epoch 39/1000 | train_loss: 0.043263 | train_acc: 0.985324 | train_top1: 0.991272 | train_f1: 0.991390 | test_top1: 0.752204 | test_f1: 0.752500
Epoch 40/1000 | train_loss: 0.035129 | train_acc: 0.987624 | train_top1: 0.985633 | train_f1: 0.985941 | test_top1: 0.742455 | test_f1: 0.739700
Epoch 41/1000 | train_loss: 0.024444 | train_acc: 0.991865 | train_top1: 0.993805 | train_f1: 0.993921 | test_top1: 0.756751 | test_f1: 0.757400
Epoch 42/1000 | train_loss: 0.033868 | train_acc: 0.988417 | train_top1: 0.989053 | train_f1: 0.989294 | test_top1: 0.750022 | test_f1: 0.751400
Epoch 43/1000 | train_loss: 0.039707 | train_acc: 0.986025 | train_top1: 0.993786 | train_f1: 0.993921 | test_top1: 0.756495 | test_f1: 0.756600
Epoch 44/1000 | train_loss: 0.023872 | train_acc: 0.991889 | train_top1: 0.992853 | train_f1: 0.993005 | test_top1: 0.756993 | test_f1: 0.756700
Epoch 45/1000 | train_loss: 0.030617 | train_acc: 0.989234 | train_top1: 0.976761 | train_f1: 0.977037 | test_top1: 0.737825 | test_f1: 0.738700
Epoch 46/1000 | train_loss: 0.028449 | train_acc: 0.990601 | train_top1: 0.990592 | train_f1: 0.990768 | test_top1: 0.752100 | test_f1: 0.753800
Epoch 47/1000 | train_loss: 0.025165 | train_acc: 0.991530 | train_top1: 0.993399 | train_f1: 0.993499 | test_top1: 0.756910 | test_f1: 0.757600
Epoch 48/1000 | train_loss: 0.028917 | train_acc: 0.990274 | train_top1: 0.989845 | train_f1: 0.989967 | test_top1: 0.751797 | test_f1: 0.752600
Epoch 49/1000 | train_loss: 0.028252 | train_acc: 0.990274 | train_top1: 0.990925 | train_f1: 0.991048 | test_top1: 0.750642 | test_f1: 0.753700
Epoch 50/1000 | train_loss: 0.028542 | train_acc: 0.990589 | train_top1: 0.993909 | train_f1: 0.994061 | test_top1: 0.758135 | test_f1: 0.758200
Epoch 51/1000 | train_loss: 0.023555 | train_acc: 0.991825 | train_top1: 0.992161 | train_f1: 0.992263 | test_top1: 0.752851 | test_f1: 0.753900
Epoch 52/1000 | train_loss: 0.030929 | train_acc: 0.989892 | train_top1: 0.990565 | train_f1: 0.990725 | test_top1: 0.753673 | test_f1: 0.750400
Epoch 53/1000 | train_loss: 0.025684 | train_acc: 0.991131 | train_top1: 0.993409 | train_f1: 0.993523 | test_top1: 0.755932 | test_f1: 0.755500
Epoch 54/1000 | train_loss: 0.025772 | train_acc: 0.991590 | train_top1: 0.992942 | train_f1: 0.993005 | test_top1: 0.752381 | test_f1: 0.753200
Epoch 55/1000 | train_loss: 0.015911 | train_acc: 0.994814 | train_top1: 0.994671 | train_f1: 0.994854 | test_top1: 0.760031 | test_f1: 0.758900
Epoch 56/1000 | train_loss: 0.021379 | train_acc: 0.993021 | train_top1: 0.990018 | train_f1: 0.990210 | test_top1: 0.747755 | test_f1: 0.746000
Epoch 57/1000 | train_loss: 0.031129 | train_acc: 0.989457 | train_top1: 0.993629 | train_f1: 0.993702 | test_top1: 0.759737 | test_f1: 0.759500
Epoch 58/1000 | train_loss: 0.023338 | train_acc: 0.992279 | train_top1: 0.995154 | train_f1: 0.995177 | test_top1: 0.762774 | test_f1: 0.762900
Epoch 59/1000 | train_loss: 0.019489 | train_acc: 0.993204 | train_top1: 0.994874 | train_f1: 0.994994 | test_top1: 0.757732 | test_f1: 0.758200
Epoch 60/1000 | train_loss: 0.018405 | train_acc: 0.993798 | train_top1: 0.995720 | train_f1: 0.995815 | test_top1: 0.758289 | test_f1: 0.759700
Epoch 61/1000 | train_loss: 0.026273 | train_acc: 0.991067 | train_top1: 0.989362 | train_f1: 0.989525 | test_top1: 0.751015 | test_f1: 0.751000
Epoch 62/1000 | train_loss: 0.022344 | train_acc: 0.992439 | train_top1: 0.993393 | train_f1: 0.993543 | test_top1: 0.754341 | test_f1: 0.753400
Epoch 63/1000 | train_loss: 0.023039 | train_acc: 0.992104 | train_top1: 0.992141 | train_f1: 0.992243 | test_top1: 0.750337 | test_f1: 0.746400
Epoch 64/1000 | train_loss: 0.015861 | train_acc: 0.994818 | train_top1: 0.995712 | train_f1: 0.995795 | test_top1: 0.761312 | test_f1: 0.761600
Epoch 65/1000 | train_loss: 0.014792 | train_acc: 0.995113 | train_top1: 0.992684 | train_f1: 0.992925 | test_top1: 0.759352 | test_f1: 0.762300
Epoch 66/1000 | train_loss: 0.019887 | train_acc: 0.993519 | train_top1: 0.994112 | train_f1: 0.994220 | test_top1: 0.752705 | test_f1: 0.752900
Epoch 67/1000 | train_loss: 0.027121 | train_acc: 0.990474 | train_top1: 0.991042 | train_f1: 0.991251 | test_top1: 0.750233 | test_f1: 0.748300
Epoch 68/1000 | train_loss: 0.024596 | train_acc: 0.991877 | train_top1: 0.995255 | train_f1: 0.995356 | test_top1: 0.757649 | test_f1: 0.756900
Epoch 69/1000 | train_loss: 0.021365 | train_acc: 0.992857 | train_top1: 0.997173 | train_f1: 0.997166 | test_top1: 0.760935 | test_f1: 0.761900
Epoch 70/1000 | train_loss: 0.014667 | train_acc: 0.995177 | train_top1: 0.998073 | train_f1: 0.998087 | test_top1: 0.761785 | test_f1: 0.762100
Epoch 71/1000 | train_loss: 0.013550 | train_acc: 0.995492 | train_top1: 0.995296 | train_f1: 0.995396 | test_top1: 0.757914 | test_f1: 0.758000
Epoch 72/1000 | train_loss: 0.019661 | train_acc: 0.993519 | train_top1: 0.996520 | train_f1: 0.996552 | test_top1: 0.763480 | test_f1: 0.763100
Epoch 73/1000 | train_loss: 0.021002 | train_acc: 0.992742 | train_top1: 0.994547 | train_f1: 0.994679 | test_top1: 0.753502 | test_f1: 0.753900
Epoch 74/1000 | train_loss: 0.018801 | train_acc: 0.993523 | train_top1: 0.994456 | train_f1: 0.994519 | test_top1: 0.756243 | test_f1: 0.755900
Epoch 75/1000 | train_loss: 0.014074 | train_acc: 0.995205 | train_top1: 0.996960 | train_f1: 0.996963 | test_top1: 0.758482 | test_f1: 0.758200
Epoch 76/1000 | train_loss: 0.018322 | train_acc: 0.993511 | train_top1: 0.993730 | train_f1: 0.993878 | test_top1: 0.756048 | test_f1: 0.756500
Epoch 77/1000 | train_loss: 0.023654 | train_acc: 0.992064 | train_top1: 0.992748 | train_f1: 0.992905 | test_top1: 0.753130 | test_f1: 0.753100
Epoch 78/1000 | train_loss: 0.018830 | train_acc: 0.993634 | train_top1: 0.997594 | train_f1: 0.997628 | test_top1: 0.767949 | test_f1: 0.768800
Epoch 79/1000 | train_loss: 0.016878 | train_acc: 0.994196 | train_top1: 0.996574 | train_f1: 0.996692 | test_top1: 0.762076 | test_f1: 0.763200
Epoch 80/1000 | train_loss: 0.013095 | train_acc: 0.995452 | train_top1: 0.995821 | train_f1: 0.995894 | test_top1: 0.761958 | test_f1: 0.762200
Epoch 81/1000 | train_loss: 0.014718 | train_acc: 0.994838 | train_top1: 0.994026 | train_f1: 0.994141 | test_top1: 0.756210 | test_f1: 0.757300
Epoch 82/1000 | train_loss: 0.016596 | train_acc: 0.994440 | train_top1: 0.996000 | train_f1: 0.996054 | test_top1: 0.758267 | test_f1: 0.756200
Epoch 83/1000 | train_loss: 0.011005 | train_acc: 0.996632 | train_top1: 0.996807 | train_f1: 0.996907 | test_top1: 0.762252 | test_f1: 0.760600
Epoch 84/1000 | train_loss: 0.014187 | train_acc: 0.995197 | train_top1: 0.991924 | train_f1: 0.991964 | test_top1: 0.752604 | test_f1: 0.753100
Epoch 85/1000 | train_loss: 0.016442 | train_acc: 0.994216 | train_top1: 0.997323 | train_f1: 0.997425 | test_top1: 0.764644 | test_f1: 0.765300
Epoch 86/1000 | train_loss: 0.014900 | train_acc: 0.995037 | train_top1: 0.995930 | train_f1: 0.996034 | test_top1: 0.762299 | test_f1: 0.762200
Epoch 87/1000 | train_loss: 0.014914 | train_acc: 0.994794 | train_top1: 0.994988 | train_f1: 0.995018 | test_top1: 0.763360 | test_f1: 0.763700
Epoch 88/1000 | train_loss: 0.021159 | train_acc: 0.992877 | train_top1: 0.995778 | train_f1: 0.995875 | test_top1: 0.759001 | test_f1: 0.761400
Epoch 89/1000 | train_loss: 0.020945 | train_acc: 0.993463 | train_top1: 0.997436 | train_f1: 0.997509 | test_top1: 0.761867 | test_f1: 0.760600
Epoch 90/1000 | train_loss: 0.009741 | train_acc: 0.996803 | train_top1: 0.999367 | train_f1: 0.999362 | test_top1: 0.766753 | test_f1: 0.767000
Epoch 91/1000 | train_loss: 0.007058 | train_acc: 0.997565 | train_top1: 0.998707 | train_f1: 0.998764 | test_top1: 0.768880 | test_f1: 0.769100
Epoch 92/1000 | train_loss: 0.009577 | train_acc: 0.996907 | train_top1: 0.997968 | train_f1: 0.997987 | test_top1: 0.760310 | test_f1: 0.760300
