Epoch 0/1000 | train_loss: 1.955655 | train_acc: 0.231764 | train_top1: 0.274045 | train_f1: 0.336918 | test_top1: 0.281231 | test_f1: 0.345800
Epoch 1/1000 | train_loss: 1.600664 | train_acc: 0.378404 | train_top1: 0.372238 | train_f1: 0.411579 | test_top1: 0.397786 | test_f1: 0.431400
Epoch 2/1000 | train_loss: 1.402627 | train_acc: 0.477360 | train_top1: 0.505939 | train_f1: 0.526842 | test_top1: 0.533091 | test_f1: 0.549300
Epoch 3/1000 | train_loss: 1.256411 | train_acc: 0.542570 | train_top1: 0.569871 | train_f1: 0.577926 | test_top1: 0.586538 | test_f1: 0.591800
Epoch 4/1000 | train_loss: 1.154259 | train_acc: 0.584503 | train_top1: 0.562367 | train_f1: 0.582374 | test_top1: 0.564576 | test_f1: 0.581100
Epoch 5/1000 | train_loss: 1.053616 | train_acc: 0.623892 | train_top1: 0.624674 | train_f1: 0.632601 | test_top1: 0.626289 | test_f1: 0.631200
Epoch 6/1000 | train_loss: 0.984726 | train_acc: 0.651160 | train_top1: 0.663733 | train_f1: 0.676148 | test_top1: 0.664021 | test_f1: 0.674300
Epoch 7/1000 | train_loss: 0.906111 | train_acc: 0.680222 | train_top1: 0.690860 | train_f1: 0.697764 | test_top1: 0.691640 | test_f1: 0.694400
Epoch 8/1000 | train_loss: 0.843916 | train_acc: 0.704293 | train_top1: 0.706848 | train_f1: 0.709801 | test_top1: 0.706607 | test_f1: 0.706600
Epoch 9/1000 | train_loss: 0.802552 | train_acc: 0.720169 | train_top1: 0.735074 | train_f1: 0.736141 | test_top1: 0.728187 | test_f1: 0.726600
Epoch 10/1000 | train_loss: 0.754014 | train_acc: 0.737460 | train_top1: 0.755332 | train_f1: 0.758466 | test_top1: 0.738144 | test_f1: 0.739100
Epoch 11/1000 | train_loss: 0.713940 | train_acc: 0.752583 | train_top1: 0.726145 | train_f1: 0.735029 | test_top1: 0.723263 | test_f1: 0.729100
Epoch 12/1000 | train_loss: 0.681731 | train_acc: 0.765250 | train_top1: 0.776576 | train_f1: 0.779847 | test_top1: 0.757154 | test_f1: 0.759000
Epoch 13/1000 | train_loss: 0.649160 | train_acc: 0.774589 | train_top1: 0.790589 | train_f1: 0.792387 | test_top1: 0.765729 | test_f1: 0.765400
Epoch 14/1000 | train_loss: 0.614734 | train_acc: 0.787835 | train_top1: 0.796466 | train_f1: 0.803141 | test_top1: 0.774357 | test_f1: 0.777400
Epoch 15/1000 | train_loss: 0.580824 | train_acc: 0.799976 | train_top1: 0.788741 | train_f1: 0.797218 | test_top1: 0.757617 | test_f1: 0.765400
Epoch 16/1000 | train_loss: 0.567174 | train_acc: 0.805784 | train_top1: 0.815843 | train_f1: 0.817913 | test_top1: 0.788191 | test_f1: 0.786700
Epoch 17/1000 | train_loss: 0.537137 | train_acc: 0.816749 | train_top1: 0.830503 | train_f1: 0.833964 | test_top1: 0.795310 | test_f1: 0.797300
