B_max,B_max_f1,B_max_test_f1,B_opt,B_opt_f1,B_opt_test_f1
11181642,0.2087081670761108,0.2237071990966797,11181642,0.2087081670761108,0.2237071990966797
12,0.6195279657840729,0.6072704195976257,8,0.5933778882026672,0.59002485871315
19,0.7559419870376587,0.7686948776245117,10,0.40814274549484253,0.4017571210861206
45,0.23431527614593506,0.2403634786605835,22,0.21810919046401978,0.2586531639099121
243,0.20866841077804565,0.22363340854644775,95,0.19827324151992798,0.22366589307785034
148,0.2108900547027588,0.22612279653549194,65,0.19931131601333618,0.22617316246032715
80,0.2140546441078186,0.2287866473197937,37,0.20151203870773315,0.2292633056640625
145,0.20663583278656006,0.22376680374145508,74,0.19755756855010986,0.22315210103988647
211,0.2108137011528015,0.22276341915130615,90,0.19670426845550537,0.22262942790985107
141,0.21216368675231934,0.22652685642242432,66,0.19709861278533936,0.22499966621398926
87,0.21622753143310547,0.22939229011535645,48,0.21058112382888794,0.22843706607818604
200,0.2046889066696167,0.22162926197052002,93,0.19567060470581055,0.22230148315429688
152,0.20472389459609985,0.22280454635620117,67,0.19242429733276367,0.2228490114212036
137,0.21169161796569824,0.22458064556121826,77,0.2052689790725708,0.22335517406463623
212,0.2073878049850464,0.2236471176147461,94,0.20162224769592285,0.22308671474456787
79,0.21861273050308228,0.23009979724884033,38,0.20308881998062134,0.22830188274383545
245,0.20544618368148804,0.22413718700408936,104,0.19775956869125366,0.2239624261856079
142,0.20527225732803345,0.22330856323242188,69,0.19343912601470947,0.2225169539451599
33,0.2586822509765625,0.27193939685821533,17,0.2339957356452942,0.26286780834198
186,0.20966315269470215,0.22395646572113037,79,0.19972103834152222,0.2243083119392395
28,0.3389838933944702,0.3466402292251587,16,0.2704653739929199,0.2936505675315857
109,0.21169745922088623,0.22533011436462402,54,0.20543450117111206,0.22509533166885376
154,0.21101629734039307,0.22494006156921387,69,0.20437508821487427,0.22681421041488647
220,0.2103676199913025,0.22347140312194824,93,0.20051205158233643,0.22536051273345947
147,0.20775526762008667,0.22223985195159912,80,0.20450860261917114,0.22272765636444092
242,0.20978009700775146,0.22400939464569092,100,0.20172607898712158,0.22264409065246582
164,0.21288931369781494,0.22465568780899048,74,0.19929438829421997,0.2247481346130371
165,0.2155226469039917,0.2261192798614502,79,0.20052874088287354,0.22636640071868896
150,0.21296226978302002,0.22407054901123047,69,0.19458109140396118,0.2234809398651123
58,0.22524762153625488,0.23433470726013184,29,0.21290212869644165,0.24111533164978027
76,0.20960742235183716,0.23061561584472656,45,0.20871269702911377,0.23313379287719727
223,0.20849812030792236,0.2245575189590454,100,0.20068466663360596,0.2249860167503357
241,0.20578008890151978,0.2218019962310791,109,0.2017497420310974,0.2227240800857544
249,0.20770692825317383,0.223216712474823,109,0.1990344524383545,0.2220788598060608
255,0.20457381010055542,0.22328490018844604,123,0.19613301753997803,0.22350335121154785
230,0.20944130420684814,0.22377169132232666,105,0.20254474878311157,0.2229149341583252
104,0.21040505170822144,0.22687649726867676,56,0.2026740312576294,0.22728896141052246
94,0.2211567759513855,0.2276325225830078,48,0.20848822593688965,0.22896695137023926
149,0.2096264362335205,0.22573965787887573,75,0.20165932178497314,0.22575914859771729
15,0.9400867819786072,0.9375563859939575,9,0.9316008165478706,0.933065690100193
71,0.20859295129776,0.22805577516555786,43,0.20095956325531006,0.22943103313446045
69,0.21291840076446533,0.2252432107925415,41,0.2073596715927124,0.22857069969177246
30,0.41617685556411743,0.425174355506897,18,0.348752498626709,0.36274993419647217
65,0.21723002195358276,0.2296580672264099,35,0.20789575576782227,0.23155617713928223
9,0.9812721628695726,0.9818181805312634,2,0.9798752199858427,0.9818181805312634
136,0.21111226081848145,0.22594505548477173,65,0.2031702995300293,0.2246994972229004
68,0.21340084075927734,0.23087680339813232,35,0.19858664274215698,0.23098748922348022
217,0.20698881149291992,0.2250610589981079,97,0.20394086837768555,0.2251579761505127
16,0.9336036369204521,0.9377536959946156,9,0.9126961007714272,0.899302676320076
224,0.20765578746795654,0.22580277919769287,112,0.2028694748878479,0.22555947303771973
123,0.21258962154388428,0.22755146026611328,64,0.1992110013961792,0.22551321983337402
183,0.20756274461746216,0.2237558364868164,83,0.19727963209152222,0.22460532188415527
129,0.2106170654296875,0.22639811038970947,62,0.20192623138427734,0.22669559717178345
