B_max,B_max_f1,B_max_test_f1,B_opt,B_opt_f1,B_opt_test_f1
11227812,0.5119995772838593,0.5008301138877869,11227812,0.5119995772838593,0.5008301138877869
45,0.9823635295033455,0.9866409320384264,27,0.9671042412519455,0.9789127707481384
243,0.5362247824668884,0.5342869758605957,155,0.5178380012512207,0.53509521484375
148,0.5374144911766052,0.5444595217704773,100,0.5185325741767883,0.5349731743335724
80,0.6643601655960083,0.6537043154239655,46,0.6030320525169373,0.6157385408878326
145,0.5403094589710236,0.5454537868499756,96,0.5272674560546875,0.5412643253803253
211,0.5411425232887268,0.5327574014663696,140,0.5323399305343628,0.5332014262676239
141,0.5515074133872986,0.5467464327812195,94,0.5232006907463074,0.5403257012367249
87,0.587604820728302,0.6043572723865509,61,0.5325690507888794,0.555431067943573
200,0.5443552732467651,0.5371193885803223,121,0.5304069519042969,0.5364188253879547
152,0.5782931745052338,0.5596705675125122,87,0.5351994633674622,0.5523660778999329
137,0.5921928882598877,0.5926354825496674,90,0.5405728816986084,0.5416761934757233
212,0.5413012504577637,0.5392371416091919,129,0.521791934967041,0.5323173403739929
79,0.9281495660543442,0.928706482052803,54,0.6083046197891235,0.6175766587257385
245,0.5361849963665009,0.5374076068401337,150,0.5107207894325256,0.531965583562851
142,0.548722118139267,0.545174777507782,89,0.5238788723945618,0.53560870885849
33,0.9996816990314983,0.9998019802005729,18,0.9610258005559444,0.973940871655941
186,0.5394745469093323,0.5420506000518799,124,0.532066136598587,0.5362749099731445
28,0.9997422077285592,0.9992118045920506,21,0.9969357308000326,0.9979630969464779
109,0.581466406583786,0.5731960833072662,69,0.548399806022644,0.5566126108169556
154,0.5438014566898346,0.5491703748703003,107,0.5230058431625366,0.5337807834148407
220,0.540573000907898,0.5371547937393188,148,0.5261993706226349,0.5360901057720184
147,0.5464327931404114,0.5409008264541626,96,0.531451940536499,0.5419156551361084
242,0.5451288223266602,0.5367047786712646,162,0.5327479839324951,0.5349645614624023
164,0.5398131012916565,0.5420181155204773,118,0.5221715271472931,0.5401641428470612
165,0.5410884022712708,0.5414542257785797,112,0.5216879844665527,0.5370560586452484
150,0.5392704606056213,0.5378705561161041,108,0.52437824010849,0.5339049100875854
58,0.8073669373989105,0.808905303478241,37,0.6106374561786652,0.618211567401886
76,0.9300905764102936,0.927432157099247,51,0.6514610648155212,0.6616036295890808
223,0.533413290977478,0.5341309010982513,124,0.5158542692661285,0.5355545878410339
241,0.53904789686203,0.5356587767601013,147,0.5215489864349365,0.5342214107513428
249,0.5342323780059814,0.5326262712478638,162,0.5264770984649658,0.5322181880474091
255,0.5390410423278809,0.5315500199794769,156,0.5153734087944031,0.5295342206954956
230,0.5501959323883057,0.5407159924507141,149,0.5214881896972656,0.5378769636154175
104,0.5248139500617981,0.5290738940238953,72,0.5122448205947876,0.5273706614971161
94,0.7052758038043976,0.6898285448551178,58,0.6019554734230042,0.6029048562049866
149,0.5769774317741394,0.5693060755729675,97,0.5206022560596466,0.5456776022911072
15,0.9997716636426048,0.9998019802005729,2,0.9996816990314983,0.9998019802005729
71,0.8149426281452179,0.8081919699907303,46,0.7401193678379059,0.7523385137319565
69,0.5869387090206146,0.5625312328338623,52,0.5768672823905945,0.5683895349502563
30,0.9996813917823602,0.9998029850976309,17,0.9829923920333385,0.9825276099145412
65,0.9155604839324951,0.910276859998703,42,0.8556064069271088,0.8703761249780655
9,0.9998111097665969,0.9998019802005729,3,0.9998111097665969,0.9998019802005729
136,0.5445592999458313,0.5370799005031586,93,0.5213664770126343,0.5384647250175476
68,0.8607620000839233,0.8552514910697937,42,0.7879540324211121,0.800171285867691
217,0.5457295179367065,0.535554826259613,149,0.5318028032779694,0.5351356267929077
16,0.9996816990314983,0.9998019802005729,7,0.9986295856069773,0.9993613682454452
224,0.5511101186275482,0.5459508895874023,140,0.5190927684307098,0.5380455255508423
123,0.6019600629806519,0.5968329608440399,76,0.5543447136878967,0.5613358616828918
183,0.5324745178222656,0.5379246473312378,125,0.5219725370407104,0.5401351451873779
129,0.5921757519245148,0.5723981559276581,75,0.5268707871437073,0.5492280125617981
208,0.5459569692611694,0.5355382263660431,142,0.5292952656745911,0.5354154109954834
38,0.9998109269072302,0.9998019017511979,22,0.9974449891597033,0.9987647628877312
139,0.5486770868301392,0.5366833806037903,86,0.5250016450881958,0.5406365990638733
206,0.538198322057724,0.537428617477417,130,0.5235676467418671,0.53336501121521
157,0.5552982985973358,0.5581049919128418,109,0.5238348245620728,0.534752756357193
57,0.7770366221666336,0.7671860307455063,40,0.7217075526714325,0.7316558957099915
11,0.9998105601407588,0.9998014099983266,7,0.9987912412034348,0.9988903834018856
204,0.5515028834342957,0.5483624339103699,126,0.522575706243515,0.547248512506485
32,0.9998111097665969,0.9998019802005729,11,0.9984744306420907,0.9991485207574442
51,0.9116816893219948,0.9084599986672401,31,0.8725433051586151,0.8723322600126266
84,0.5749091506004333,0.5886460542678833,49,0.5132745802402496,0.5447596311569214
34,0.951846931129694,0.9482896849513054,27,0.9407099783420563,0.944419376552105
60,0.6898711621761322,0.6907179951667786,44,0.6556211411952972,0.6645152568817139
88,0.7742767632007599,0.7527540028095245,49,0.5993106365203857,0.6163948774337769
117,0.6412940621376038,0.6294142305850983,66,0.5545188188552856,0.5715439915657043
49,0.6116267740726471,0.6001484096050262,32,0.5929180085659027,0.6097118556499481
218,0.5409062504768372,0.5391862392425537,127,0.520134299993515,0.5319347977638245
23,0.9920214992016554,0.9926745230332017,14,0.9709011390805244,0.9794190116226673
72,0.5550333857536316,0.5518756210803986,49,0.5408258438110352,0.5575100183486938
119,0.5715450048446655,0.5780473947525024,81,0.5229704082012177,0.5457171201705933
234,0.540224552154541,0.5350573062896729,139,0.5204301476478577,0.5316392183303833
143,0.5945766568183899,0.5903233587741852,92,0.5351675152778625,0.5566606223583221
161,0.5479558110237122,0.5452801585197449,100,0.5276201963424683,0.5480953752994537
112,0.5890490412712097,0.5603874921798706,69,0.557715892791748,0.5573701858520508
17,0.9529013857245445,0.9551702104508877,14,0.9504148811101913,0.9532129764556885
203,0.5428137183189392,0.5361133217811584,128,0.5334339737892151,0.5347714722156525
