B_max,B_opt,B_opt_f1
15,2.0,0.9996816990314984
35,5.0,0.999631201819284
29,5.0,0.999631201819284
16,7.0,0.9986295856069772
16,7.0,0.9986295856069772
32,11.0,0.9984744306420908
17,14.0,0.9504148811101912
37,22.0,0.7817233204841614
40,30.0,0.686335563659668
40,30.0,0.686335563659668
40,30.0,0.686335563659668
40,30.0,0.686335563659668
49,32.0,0.5929180085659027
49,32.0,0.5929180085659027
49,32.0,0.5929180085659027
49,32.0,0.5929180085659027
66,41.0,0.5696294903755188
66,41.0,0.5696294903755188
81,46.0,0.5280037224292755
84,49.0,0.5132745802402496
84,49.0,0.5132745802402496
104,72.0,0.5122448205947876
104,72.0,0.5122448205947876
104,72.0,0.5122448205947876
207,133.0,0.5106014311313629
