B_max,B_max_f1,B_max_test_f1,B_opt,B_opt_f1,B_opt_test_f1
11227812,0.495975136756897,0.5008301138877869,11227812,0.495975136756897,0.5008301138877869
49,0.6055477857589722,0.6001484096050262,30,0.5848667621612549,0.6006307899951935
68,0.8577572852373123,0.8552514910697937,43,0.7972065955400467,0.8092773407697678
158,0.5541918873786926,0.5500548481941223,98,0.535128653049469,0.544150710105896
208,0.5322078466415405,0.5355382263660431,121,0.5037670731544495,0.5284393429756165
102,0.7141795754432678,0.6900235414505005,60,0.5920014679431915,0.6052241921424866
113,0.5424528121948242,0.5439234673976898,80,0.5374893248081207,0.5459025800228119
212,0.5270062386989594,0.5392371416091919,136,0.5194989740848541,0.5370051264762878
42,0.9967741561122239,0.9965787893161178,28,0.9929879759438336,0.9958653603680432
37,0.8331958055496216,0.8255379647016525,27,0.8175588250160217,0.8040054887533188
192,0.545895516872406,0.5472439825534821,129,0.5289450883865356,0.5378276109695435
223,0.5256281495094299,0.5341309010982513,136,0.5097849369049072,0.5316748023033142
248,0.5392082929611206,0.5371138453483582,158,0.52611243724823,0.5354111790657043
198,0.5631837844848633,0.5512927770614624,115,0.5097295641899109,0.5302561819553375
135,0.553587794303894,0.552642434835434,87,0.5354326069355011,0.543940395116806
136,0.5327620506286621,0.5370799005031586,93,0.5226319432258606,0.5368124842643738
83,0.622414767742157,0.6160282492637634,51,0.5662737488746643,0.5739223957061768
245,0.5381367802619934,0.5374076068401337,150,0.5269042551517487,0.5360353887081146
92,0.5618497133255005,0.5482351183891296,65,0.5467904806137085,0.553886353969574
255,0.5274688005447388,0.5315500199794769,144,0.5060194134712219,0.528444230556488
253,0.5408477187156677,0.5428310930728912,158,0.5160069465637207,0.5339551568031311
187,0.5535770654678345,0.5439881384372711,114,0.5267981886863708,0.5393020510673523
176,0.53091099858284,0.5344372093677521,116,0.5081405639648438,0.5298480689525604
189,0.5500612854957581,0.5434735417366028,123,0.5266754329204559,0.5331085324287415
204,0.5477047860622406,0.5483624339103699,134,0.5193880796432495,0.5373474061489105
40,0.7077732682228088,0.6979782581329346,26,0.6532549858093262,0.6725144982337952
60,0.6905351877212524,0.6907179951667786,37,0.6698711216449738,0.6707696318626404
239,0.5353710055351257,0.536676824092865,141,0.5154213607311249,0.5368498861789703
230,0.5489408373832703,0.5407159924507141,141,0.5230540037155151,0.5306590497493744
64,0.8831945806741714,0.8850670456886292,44,0.6531480252742767,0.6565577387809753
35,0.9998019802005729,0.9998019802005729,16,0.997604271164164,0.9978865883313119
105,0.7282251119613647,0.7021555006504059,69,0.5791958570480347,0.5787091851234436
128,0.5714159309864044,0.57558873295784,90,0.5194503664970398,0.541421115398407
99,0.6913318037986755,0.6684809923171997,66,0.6457186341285706,0.6506672501564026
123,0.6065897941589355,0.5968329608440399,77,0.5480529069900513,0.5571606755256653
114,0.6520278453826904,0.6476461887359619,70,0.569927990436554,0.5938126146793365
25,0.9997985901427455,0.9994725502911024,15,0.9979726132005453,0.9993930814089254
127,0.537844717502594,0.5422060489654541,86,0.5238612592220306,0.5386930406093597
45,0.9912321735173464,0.9866409320384264,25,0.9699182771146297,0.9796845596283674
247,0.5314719676971436,0.5375843942165375,167,0.5177514553070068,0.5323824882507324
153,0.5222101211547852,0.5326709747314453,109,0.5075155794620514,0.5277215838432312
116,0.556902676820755,0.5612421929836273,73,0.5204432606697083,0.5406811535358429
57,0.7661182731389999,0.7671860307455063,35,0.708681732416153,0.7268455028533936
104,0.5267131328582764,0.5290738940238953,66,0.5100700557231903,0.5319581031799316
219,0.5401524901390076,0.5366434454917908,139,0.5223935842514038,0.535283625125885
62,0.9496113546192646,0.9449602738022804,36,0.9083334356546402,0.9260316118597984
82,0.9284802675247192,0.9236965179443359,56,0.5667158365249634,0.5745347142219543
89,0.5699611008167267,0.5701339840888977,65,0.5597952604293823,0.5698708891868591
56,0.9990630630636588,0.9990589478402399,28,0.6895440220832825,0.6974667310714722
142,0.5437156558036804,0.545174777507782,95,0.5236332416534424,0.5369070470333099
24,0.9998019802005729,0.9998019802005729,11,0.9991085285437293,0.9997254959598649
188,0.5180694162845612,0.5325977802276611,122,0.5102980732917786,0.5335928201675415
16,0.9998019802005729,0.9998019802005729,8,0.9987947134068236,0.9993796249036677
29,0.9998019802005729,0.9998019802005729,14,0.9991725708823651,0.9997269585437607
66,0.58624666929245,0.5898327231407166,42,0.5579873919487,0.5608360767364502
233,0.554275631904602,0.5412570834159851,147,0.5059685111045837,0.5378437042236328
241,0.5313895642757416,0.5356587767601013,155,0.5172623991966248,0.5351941585540771
34,0.9403731897473335,0.9482896849513054,25,0.9337625950574875,0.9453242979943752
157,0.5487931072711945,0.5581049919128418,92,0.517275333404541,0.5354146361351013
177,0.5241507887840271,0.5397412180900574,109,0.5065671503543854,0.5316024720668793
98,0.5408453047275543,0.5415816307067871,67,0.5250445604324341,0.5418782234191895
52,0.6704148650169373,0.6717314124107361,40,0.6509297490119934,0.6509890556335449
218,0.5285093486309052,0.5391862392425537,146,0.508845865726471,0.5322558581829071
237,0.5342069566249847,0.5346380472183228,147,0.5189626514911652,0.5335030555725098
