B_max,B_opt,B_opt F1 err
10,2.0,0.9998019802005729
15,2.0,0.9998019802005729
10,2.0,0.9998019802005729
16,8.0,0.9987947134068236
16,8.0,0.9987947134068236
22,9.0,0.9982533517759293
22,9.0,0.9982533517759293
14,11.0,0.9969870627392083
14,11.0,0.9969870627392083
23,12.0,0.9888625415042043
23,12.0,0.9888625415042043
20,14.0,0.9563741236925125
39,21.0,0.9311187341809273
40,26.0,0.6532549858093262
40,26.0,0.6532549858093262
40,26.0,0.6532549858093262
46,28.0,0.5560025870800018
46,28.0,0.5560025870800018
69,49.0,0.5439806878566742
72,51.0,0.5357829630374908
75,52.0,0.5357122421264648
93,61.0,0.5301169753074646
90,62.0,0.52878537774086
90,62.0,0.52878537774086
104,66.0,0.5100700557231903
104,66.0,0.5100700557231903
144,93.0,0.5067952573299408
177,109.0,0.5065671503543854
177,109.0,0.5065671503543854
179,112.0,0.4985126256942749
