B_max,B_opt,B_opt_f1
13,2.0,0.9818181805312634
11,2.0,0.9818181805312634
13,2.0,0.9818181805312634
13,2.0,0.9818181805312634
13,2.0,0.9818181805312634
20,6.0,0.9414495304226876
15,9.0,0.6652377545833588
15,9.0,0.6652377545833588
15,9.0,0.6652377545833588
17,10.0,0.3863536715507507
17,10.0,0.3863536715507507
17,10.0,0.3863536715507507
17,10.0,0.3863536715507507
17,10.0,0.3863536715507507
28,17.0,0.2907153367996216
34,20.0,0.138245940208435
51,26.0,0.1286635994911193
51,26.0,0.1286635994911193
142,27.0,0.1285018920898437
85,28.0,0.1201395988464355
179,30.0,0.1098511815071106
179,30.0,0.1098511815071106
179,30.0,0.1098511815071106
92,31.0,0.1097289323806762
167,32.0,0.1090688705444336
167,32.0,0.1090688705444336
231,33.0,0.1090285181999206
231,33.0,0.1090285181999206
90,34.0,0.0984840989112854
137,39.0,0.0884069204330444
137,39.0,0.0884069204330444
