B_max,B_max_f1,B_max_test_f1,B_opt,B_opt_f1,B_opt_test_f1
11181642,0.1522497534751892,0.1659251451492309,11181642,0.1522497534751892,0.1659251451492309
154,0.14103519916534424,0.19316905736923218,30,0.12978839874267578,0.20170974731445312
139,0.16270393133163452,0.1936696171760559,46,0.11929899454116821,0.19620662927627563
49,0.1884058713912964,0.20103490352630615,22,0.1608959436416626,0.19955450296401978
131,0.16048848628997803,0.19750559329986572,47,0.11021602153778076,0.18223392963409424
82,0.20457077026367188,0.24195623397827148,31,0.12689876556396484,0.205269455909729
245,0.14966142177581787,0.18965482711791992,37,0.12813478708267212,0.20172929763793945
183,0.13939309120178223,0.18842613697052002,40,0.1284317970275879,0.1935015320777893
180,0.14991360902786255,0.19690191745758057,39,0.10806435346603394,0.20873373746871948
190,0.15022015571594238,0.19109481573104858,40,0.10905367136001587,0.2003086805343628
69,0.18311607837677002,0.2353888750076294,38,0.14510512351989746,0.23691868782043457
78,0.14941775798797607,0.18972063064575195,34,0.1283528208732605,0.20662474632263184
109,0.15022015571594238,0.19951742887496948,29,0.12729144096374512,0.2052280306816101
181,0.14103519916534424,0.19094634056091309,54,0.1098511815071106,0.1944597363471985
17,0.4909987449645996,0.45275723934173584,10,0.38635367155075073,0.4164414405822754
240,0.14103519916534424,0.1938709020614624,44,0.10902851819992065,0.19175928831100464
116,0.170487642288208,0.207666277885437,38,0.10946160554885864,0.20054113864898682
135,0.16048848628997803,0.19799506664276123,35,0.11004436016082764,0.19072186946868896
104,0.13939309120178223,0.18701112270355225,34,0.1293931007385254,0.19956547021865845
192,0.13939309120178223,0.18832367658615112,39,0.09932488203048706,0.19648659229278564
163,0.14103519916534424,0.19956457614898682,45,0.11945164203643799,0.19307219982147217
218,0.15130352973937988,0.1942204236984253,49,0.10955476760864258,0.1902158260345459
48,0.34839361906051636,0.3245052099227905,23,0.1548229455947876,0.21637070178985596
99,0.16769587993621826,0.21715807914733887,42,0.11841565370559692,0.19034504890441895
118,0.16813069581985474,0.2025272250175476,40,0.11916214227676392,0.21837985515594482
144,0.16948533058166504,0.20248889923095703,36,0.11886680126190186,0.2057873010635376
35,0.8358073234558105,0.8042103946208954,22,0.3326212167739868,0.3453589677810669
198,0.1293931007385254,0.18911516666412354,39,0.1293931007385254,0.19409573078155518
