B_max,B_max_f1,B_max_test_f1,B_opt,B_opt_f1,B_opt_test_f1
11181642,0.1705007180044198,0.166070462112739,11181642,0.1705007180044198,0.166070462112739
511,0.17010546108742375,0.16654989033651157,51,0.13629662391272301,0.16703637987329145
484,0.1705007180044198,0.16717131398970442,45,0.144854533839054,0.172129413075376
458,0.17959162709532883,0.1666807344384832,43,0.1311239328267192,0.1872440944307574
431,0.1705007180044198,0.16774092839539345,47,0.14647358145810152,0.16448570701657916
405,0.17010546108742375,0.16644382493409782,36,0.15588449345482602,0.17540105917061888
378,0.1705007180044198,0.1674136167690612,43,0.13772156015863113,0.16488245928962164
352,0.17959162709532883,0.16817074522425735,49,0.1311239328267192,0.1959124796128059
325,0.17010546108742375,0.1677467996465929,47,0.1407495119259824,0.1829442810876435
299,0.1705007180044198,0.16754830810277144,50,0.13947509147199555,0.20423506624068766
272,0.19022739655462773,0.16808837661488296,75,0.14141671022475977,0.17870228653103637
246,0.1705007180044198,0.16765345676471033,44,0.1315973991011008,0.18010230726251053
219,0.19001474371039584,0.1690498277713719,31,0.13718212838148225,0.18177146399191368
193,0.2010395155912723,0.16470805974991687,39,0.1562741038444363,0.16937688297753506
166,0.17959162709532883,0.16686255834340324,54,0.15270183033340923,0.19040509672964723
140,0.19022739655462773,0.17021470327381094,37,0.14133944195527182,0.20637913587674972
113,0.20009645325434788,0.16908850411523768,43,0.10921226961070807,0.18710155006291596
87,0.1811364874637187,0.16951976664003343,33,0.13831623175586016,0.19182878948086068
60,0.17266180253392527,0.18242997805041905,36,0.16301194356114268,0.19664450785930965
34,0.2787799076680487,0.2610537443717693,21,0.18757477666886724,0.22140777412031876
8,0.9818181818181818,0.9818181818181818,2,0.9818181818181818,0.9818181818181818
30,0.9222953216374269,0.9046514120494791,18,0.38319094304388424,0.40423499509171956
66,0.19523827005318461,0.20104486850373293,32,0.14055733866946674,0.18766454705933755
275,0.19022739655462773,0.16612936683444313,50,0.13677281438891353,0.16789098944338077
22,0.42755481310381493,0.44531817979263244,14,0.36099481999481997,0.46177438600148324
