B_max,B_opt,B_opt_f1
16,2.0,0.9818181818181818
14,2.0,0.9818181818181818
17,5.0,0.9443635370682201
17,5.0,0.9443635370682201
11,8.0,0.9214772464772465
19,9.0,0.9021464646464646
19,9.0,0.9021464646464646
22,14.0,0.36099481999481997
20,15.0,0.24083637123110813
20,15.0,0.24083637123110813
27,20.0,0.17751542539212473
27,20.0,0.17751542539212473
29,22.0,0.16028138528138525
50,24.0,0.15606334841628955
50,24.0,0.15606334841628955
274,29.0,0.12906756642050754
261,32.0,0.12113943601155874
113,43.0,0.10921226961070807
260,44.0,0.09954491941704213
260,44.0,0.09954491941704213
