B_max,B_max_f1,B_max_test_f1,B_opt,B_opt_f1,B_opt_test_f1
11689512,0.3637333333333333,0.304275615302534,11689512,0.3637333333333333,0.304275615302534
8,0.999998001998002,0.999998001998002,2,0.999998001998002,0.999998001998002
18,0.999998001998002,0.999998001998002,2,0.999998001998002,0.999998001998002
28,0.9997965811965812,0.999905457772033,15,0.999586013986014,0.9999717894468038
38,0.999998001998002,0.9999980011992804,11,0.9999662367572547,0.999992908122047
49,0.9999920148227841,0.9999968261629071,26,0.9999179274611399,0.9999979432332373
59,0.999711737943585,0.9994372653949785,23,0.998989078687677,0.9998892067712951
69,0.9919890827586858,0.9916193139242927,39,0.9908868407514074,0.9914307189625898
79,0.9972102208038641,0.9967877453289151,37,0.9935627422533261,0.9975274495447081
90,0.9961509501797637,0.9871920737651467,38,0.9887104231166151,0.9900569605395383
100,0.8250501065717959,0.7908507349596624,53,0.7972205710593946,0.769347221187372
110,0.7618040017601937,0.7157145823857387,60,0.7318632756132757,0.6825262292085968
120,0.8556821383409619,0.8235700059778543,64,0.8355710373351218,0.8229311645623021
131,0.6641293650793652,0.6043413033704508,60,0.6261585578473814,0.591900510101283
141,0.566640404040404,0.484537079981167,73,0.5421325396825396,0.4802259024024743
151,0.7904907531274072,0.730953093952049,84,0.7660753345782758,0.722626967226387
161,0.4955761904761905,0.409433679061601,76,0.4672166666666667,0.40261251833721334
172,0.45343333333333335,0.39018109343983853,84,0.4415809523809523,0.38667717381764066
182,0.7334439051689052,0.6733408858557363,92,0.7122631756077958,0.6780743064723418
192,0.43146666666666667,0.3618584522301187,85,0.4066000000000001,0.3616555556513299
202,0.6139211904761905,0.5398262393964947,88,0.5635055555555555,0.499845578807912
213,0.6687296523183315,0.6100188878579353,104,0.5983785714285714,0.533455967261405
223,0.41903333333333326,0.34804987806480714,87,0.39060000000000006,0.35325061672207103
233,0.5048833333333334,0.41141436856766767,109,0.4784611111111111,0.41950254200474824
243,0.439047619047619,0.366197874884039,123,0.43281666666666674,0.3700716922690187
254,0.39679999999999993,0.3373554080830944,111,0.3892333333333333,0.33810735499002786
264,0.4216333333333334,0.3491645441520984,131,0.4098666666666668,0.3490785409619076
