B_max,B_max_f1,B_max_test_f1,B_opt,B_opt_f1,B_opt_test_f1
134301514,0.1345285747800236,0.1259679238281907,134301514,0.1345285747800236,0.1259679238281907
64,0.3575884899414311,0.299163915731629,17,0.1648062410641058,0.1756402058077915
85,0.1418645952244015,0.1338334997540486,27,0.1099903016473214,0.1390066924704991
106,0.1310556694767222,0.1305644282515444,23,0.1114041788964389,0.1345449479385514
127,0.1412351696104556,0.1357399175865301,31,0.1114041788964389,0.1337093971249745
148,0.1218522688182132,0.1277595329760416,38,0.1004664921235118,0.1317539067023053
170,0.130797712330893,0.1294366247079945,30,0.1101421304948024,0.1341000186045905
191,0.1218522688182132,0.1259543979464663,39,0.1004664921235118,0.1296366701078432
212,0.13121439963545234,0.125741286551173,33,0.11027975076029983,0.12973337466945356
233,0.13088125451969845,0.12791729550340547,33,0.10019366598313972,0.1349901895726392
255,0.13121439963545234,0.12659066149940723,37,0.11067838549329989,0.13760864298254794
253,0.13121439963545234,0.12632922662707402,35,0.10046649212351189,0.1327024291371206
155,0.1218522688182132,0.1271180851338528,32,0.10015206970382629,0.1323003450289102
99,0.12135744499588896,0.12786969257383451,24,0.10919363626457446,0.14083244400624972
114,0.13210391902409668,0.13254389359706809,38,0.11049593681172643,0.1351112771283306
146,0.12237174933769368,0.12679186183543956,36,0.10046649212351189,0.13457122179699632
130,0.13173928194119333,0.12824176026090972,38,0.10084292728255573,0.12962519028937636
66,0.20681160381437946,0.22011629164073965,28,0.1301799954431534,0.13615899406167353
171,0.12144443104195424,0.12694235073789906,37,0.12098445369410504,0.12936312418186646
74,0.11131911775874637,0.1274525097896042,31,0.10084292728255573,0.1275704985523387
234,0.1218522688182132,0.12625222751403664,42,0.10046649212351189,0.12780107157501708
150,0.1313760783420227,0.12789593222577267,26,0.10084292728255573,0.1307223554659558
235,0.13121439963545234,0.12701687027078334,43,0.12011865282830425,0.1297283992560787
232,0.12144443104195424,0.12574425572812742,34,0.10041002684965539,0.13272897631370528
96,0.1316222374117112,0.13400709481067408,27,0.11102073365231269,0.1355638065469369
89,0.1515525405779815,0.1415171239580264,25,0.12937790108068747,0.14664294123723975
76,0.12098646795241241,0.13263162963802055,25,0.11960947474475536,0.13598558883879952
174,0.13088125451969845,0.12834481456086766,38,0.11045813790463144,0.1354386020185
88,0.1428351180982761,0.13361131988741237,23,0.12067923431767813,0.13742615519107526
172,0.13227109275164195,0.12907777695526212,34,0.12002126528442325,0.1346714334893908
86,0.15145045827775672,0.1384712802043182,34,0.13172315816278668,0.13884018909775375
87,0.15173928194119346,0.13689776670901588,29,0.1302983841064338,0.13275439750133822
153,0.12154021417179306,0.1265117355760934,33,0.10083112920641513,0.13113561272300767
164,0.1218522688182132,0.1267485193481187,34,0.10084292728255573,0.13053496024271494
246,0.13088125451969845,0.12643187276031076,43,0.10046649212351189,0.1301429641157904
82,0.1901320972442253,0.17930269373352536,27,0.11071609505046032,0.13764352107828481
230,0.1210679958829104,0.12602140061695022,41,0.11067838549329989,0.13086167570466023
107,0.1426302348135705,0.1355394800260561,25,0.12990126832232107,0.13568460854778108
180,0.13121439963545234,0.1270303370131156,39,0.10084292728255573,0.1301276615259509
154,0.131130857446647,0.129524157910479,29,0.11061289587605372,0.1367260896065412
147,0.1310556694767222,0.12890464259077528,27,0.11056270452151451,0.13504667555394678
95,0.14253387090915692,0.13790860234405855,19,0.10223075125619219,0.1371529449648483
151,0.13088125451969845,0.12641793501538223,32,0.10046649212351189,0.12880633551007015
71,0.22533850967287505,0.17612927196693295,26,0.16222865541750997,0.16312193602391523
161,0.14153641679957474,0.1296259237805506,35,0.11036673680636544,0.13235120332944506
