,Iterations,train_loss,train_acc,train_top1,train_f1,test_top1,test_f1
0,0,1.5789552665486628,0.42237721657266425,0.4334624605823536,0.44569116709183676,0.4813564717769623,0.4898
1,1,1.282129810780895,0.5366589682442802,0.5217281786762938,0.5263472576530612,0.5805538296699524,0.5824
2,2,1.140132408665151,0.5908322626230668,0.5455547990847607,0.5537189094387756,0.6054297685623169,0.6116
3,3,1.050210752049271,0.626678077542052,0.6077230189527784,0.611930006377551,0.6639170050621033,0.6657
4,4,0.9900997205048191,0.650115577542052,0.6299342294128574,0.6387874681122448,0.6706037521362305,0.6768
5,5,0.9390564086485882,0.6664979117257255,0.6257506803590425,0.6330715880102041,0.6674143671989441,0.6707
6,6,0.901042675181311,0.684861319405692,0.6501743370781139,0.6608816964285714,0.6980856657028198,0.7054
7,7,0.8665360549882967,0.6967354599310427,0.6770163674135597,0.6799904336734693,0.7248532176017761,0.7246
8,8,0.8368574517722033,0.7085818076620296,0.6869940882434651,0.6942960778061225,0.7331077456474304,0.7349
9,9,0.8118516611201423,0.7139070471938775,0.6688252091407776,0.6769092793367346,0.7276508212089539,0.7319
10,10,0.7838022979546566,0.7259845344387755,0.6944552273774633,0.7004623724489796,0.737714946269989,0.7399
11,11,0.7685926663024085,0.7326929520587532,0.6986977363727531,0.6934271364795919,0.7326943874359131,0.7239
12,12,0.7439324965282362,0.7437181278150908,0.7257107566205823,0.7276307397959183,0.7621867060661316,0.7605
13,13,0.7299888608407001,0.7473294005102041,0.7213576052870069,0.7287149234693877,0.7480536699295044,0.7514
14,14,0.7115194502533698,0.7534199928750798,0.7356422403637244,0.7433832908163265,0.7675907015800476,0.7725
15,15,0.7009791269594309,0.7563456321249202,0.7385911552273497,0.7439692283163266,0.7634751200675964,0.7646
16,16,0.6872283931897611,0.7622608262665418,0.7177366279825872,0.7269650829081632,0.7453903555870056,0.7509
17,17,0.6802760840070491,0.7644650984783562,0.7618316384602566,0.7678132971938776,0.7835761308670044,0.788
18,18,0.6692506959851907,0.7673987563775511,0.7539032697677612,0.7569714604591837,0.7819167971611023,0.7819
19,19,0.6509236161197934,0.776530596674705,0.749654696303971,0.7542769451530612,0.7696000337600708,0.7725
20,20,0.638276783027211,0.7775789377640705,0.7474067010441605,0.7507971938775511,0.7657332420349121,0.7657
21,21,0.6357570153718092,0.77938056478695,0.7666436178343636,0.7647799744897958,0.7867876291275024,0.7829
22,22,0.623996054031411,0.7828763066505899,0.7735714696499766,0.7765465561224489,0.7913485169410706,0.7924
23,23,0.6128714368963728,0.7861606831453285,0.7897746870104148,0.7931839923469388,0.8055850863456726,0.8069
24,24,0.6087338980667445,0.7886758921097736,0.7901852748223713,0.7955436862244898,0.8047559857368469,0.8072
25,25,0.6030499436417405,0.7917131696428571,0.7621845821945035,0.7643295599489796,0.785220742225647,0.7838
26,26,0.5946421904527411,0.7944196584273358,0.776426932641438,0.7805125956632653,0.793670117855072,0.7952
27,27,0.5894598019670467,0.7961535551110093,0.7963044889727418,0.8005141900510204,0.8079807162284851,0.8089
28,28,0.5788114986249379,0.798632796929807,0.791644103977145,0.7969706632653062,0.8043139576911926,0.807
29,29,0.576018246917092,0.8017578125,0.7992576686095219,0.8008888711734694,0.8122352957725525,0.811
30,30,0.5703830268918252,0.8035435579261001,0.798264034244479,0.8044323979591836,0.8095144629478455,0.8135
31,31,0.5609579115193717,0.8059590398048868,0.7922500940609951,0.7967315051020408,0.8045483827590942,0.8063
32,32,0.559504514446064,0.8056401622538664,0.8013310846017332,0.805014349489796,0.8138179779052734,0.815
33,33,0.5549762072611828,0.8070631221849092,0.8083113875924325,0.8109135841836735,0.8163296580314636,0.8167
34,34,0.546115556237649,0.8101163591657367,0.8070214567135792,0.8092354910714286,0.8152379393577576,0.8154
35,35,0.5523743647701886,0.8077327961824379,0.7951186962273656,0.7963010204081632,0.8041262626647949,0.8032
36,36,0.5445781532599001,0.8110650510204082,0.8030430291380201,0.8053531568877551,0.8156661987304688,0.8153
37,37,0.5344682685574706,0.8132334339375399,0.8030997234947828,0.8055763711734694,0.8091354370117188,0.81
38,38,0.534508475843741,0.8165058992346939,0.7994864190719566,0.8027702487244899,0.8097333312034607,0.8104
39,39,0.5334578515315542,0.8145009254922673,0.7963110238921886,0.7955636160714286,0.8042028546333313,0.8007
40,40,0.5235129643459709,0.8177933984873246,0.8153374815473751,0.8175980548469388,0.8236655592918396,0.8238
41,41,0.5195943936705589,0.8198740433673469,0.8054286250654532,0.8102877869897959,0.8104348182678223,0.8125
42,42,0.5206137316263452,0.8199816334004305,0.8161073302736088,0.8170719068877551,0.8291479349136353,0.8278
43,43,0.5152368147154244,0.8215122612155213,0.8133690652190423,0.8172871492346938,0.8150300979614258,0.8165
44,44,0.5156308432318726,0.8222098058583786,0.8116083458370092,0.8138711734693879,0.8124203085899353,0.8121
45,45,0.512607215466548,0.8224091043277663,0.8276244106949592,0.8318957270408163,0.8313212394714355,0.8335
46,46,0.5089349707170409,0.8242466206453285,0.8267089876593375,0.8299107142857143,0.8258994221687317,0.8266
47,47,0.5004552149651001,0.8239078132473693,0.8252311868935215,0.8285235969387755,0.8235576748847961,0.824
48,48,0.5024878530173885,0.825649728580397,0.8154543565244091,0.8188456632653062,0.8215753436088562,0.8222
49,49,0.4988147500826388,0.8268654492436623,0.8326193678135775,0.8364676339285714,0.8368585705757141,0.8385
50,50,0.4893049021460572,0.8284239477040817,0.8204134617533002,0.8236328125,0.8234529495239258,0.8244
51,51,0.49149140305056865,0.8295240596849092,0.816954533968653,0.8216517857142857,0.8171046376228333,0.8194
52,52,0.49665191587136714,0.8285555158342633,0.8252898655375656,0.8282126913265306,0.8287214636802673,0.8281
53,53,0.49057600175847815,0.8312061854771206,0.818428537979418,0.8223573022959183,0.8265544772148132,0.8286
54,54,0.4872653774765073,0.830779640042052,0.8262413433011697,0.8286710778061225,0.830447793006897,0.8302
55,55,0.48892950783578715,0.8319953607053173,0.8250211827000793,0.8291693239795919,0.8301357626914978,0.8319
56,56,0.48193400794146013,0.832501625528141,0.8355820665554125,0.8367107780612245,0.8324727416038513,0.8313
57,57,0.4823544093844842,0.8338089767767458,0.8374419589431918,0.8398716517857143,0.8319916725158691,0.8322
58,58,0.4769028460188788,0.8353834346849092,0.8340110547688543,0.8345583545918368,0.833305835723877,0.8318
59,59,0.4703085559363268,0.836846332160794,0.8079187176665481,0.809243463010204,0.8174748420715332,0.8169
60,60,0.476484120500331,0.833613648706553,0.8212744724385592,0.8243144132653062,0.824586033821106,0.8258
61,61,0.47066269662915444,0.8355986926020408,0.8333766496911341,0.8371811224489796,0.8328337073326111,0.8341
62,62,0.4695175093959789,0.8378308354591837,0.8401120037448649,0.8423429528061225,0.8362438082695007,0.8367
63,63,0.47508038854112433,0.8350605867346939,0.8342119418844884,0.836555325255102,0.8321017622947693,0.833
64,64,0.4637284306239109,0.8395806915906011,0.8376860071201714,0.8402423469387755,0.8349148631095886,0.835
65,65,0.46124477076287174,0.8402263874910316,0.8265831926647498,0.8302495216836734,0.8236662745475769,0.8253
66,66,0.47014136384336314,0.8369260515485492,0.8176097535357183,0.8200613839285714,0.8267580270767212,0.8267
67,67,0.4636614845723522,0.8392219543457031,0.8371248953804677,0.8393734056122449,0.8357772827148438,0.8356
68,68,0.45962504677626553,0.8412667099310427,0.8212453282001068,0.8237125318877551,0.8212917447090149,0.8214
69,69,0.46391801429646357,0.8402901474310427,0.8282325891207676,0.8320272640306123,0.8300792574882507,0.8309
70,70,0.45984669789976,0.8419841844208387,0.8336792861928746,0.8381536989795918,0.8325220346450806,0.8343
71,71,0.45460644987772925,0.8432756540726642,0.8478533692505895,0.8496651785714286,0.8422747850418091,0.8414
72,72,0.4569949109335335,0.8402463173379704,0.8417210417742632,0.8446548150510205,0.8332729339599609,0.8337
73,73,0.45346594373790583,0.8432477834273358,0.8338710848166018,0.8371771364795918,0.8274008631706238,0.8282
74,74,0.4562444439043804,0.8419762436224489,0.8489089133788128,0.851415019132653,0.8364416360855103,0.8368
75,75,0.45318530089392955,0.8434909119897959,0.840983332419882,0.8434191645408163,0.8343181610107422,0.8348
76,76,0.4517576460327421,0.8434869415906011,0.8360377848148346,0.8388153698979592,0.8371210098266602,0.837
